cuisine,meal,full_name,ingredients,weights_g
Chinese Foods,Stir-Fried Carrots with Garlic Sauce,Stir-Fried Carrots with Garlic Sauce (Chinese Foods),Carrots|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,650.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Beets with Garlic Sauce,Stir-Fried Beets with Garlic Sauce (Chinese Foods),Red beets|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,700.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Bell Pepper with Garlic Sauce,Stir-Fried Bell Pepper with Garlic Sauce (Chinese Foods),Bell Pepper|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,600.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Celery with Garlic Sauce,Stir-Fried Celery with Garlic Sauce (Chinese Foods),Celery|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,700.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Snow Peas with Garlic Sauce,Stir-Fried Snow Peas with Garlic Sauce (Chinese Foods),Snow Peas|soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,500.0|60.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Wood Ear Mushroom with Garlic Sauce,Stir-Fried Wood Ear Mushroom with Garlic Sauce (Chinese Foods),Wood Ear Mushroom|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,400.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Enoki Mushroom with Garlic Sauce,Stir-Fried Enoki Mushroom with Garlic Sauce (Chinese Foods),Enoki Mushroom|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,350.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Kabocha Squash with Garlic Sauce,Stir-Fried Kabocha Squash with Garlic Sauce (Chinese Foods),Kabocha Squash|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,750.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Eggplant with Garlic Sauce,Stir-Fried Eggplant with Garlic Sauce (Chinese Foods),Eggplant|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,700.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Lettuce with Garlic Sauce,Stir-Fried Lettuce with Garlic Sauce (Chinese Foods),Lettuce|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,500.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Chinese Broccoli with Garlic Sauce,Stir-Fried Chinese Broccoli with Garlic Sauce (Chinese Foods),Chinese Broccoli|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,600.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Garlic Chives with Garlic Sauce,Stir-Fried Garlic Chives with Garlic Sauce (Chinese Foods),Garlic Chives|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,500.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Spinach with Garlic Sauce,Stir-Fried Spinach with Garlic Sauce (Chinese Foods),Spinach|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,450.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Okra with Garlic Sauce,Stir-Fried Okra with Garlic Sauce (Chinese Foods),Okra|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,400.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Fuzzy Melon with Garlic Sauce,Stir-Fried Fuzzy Melon with Garlic Sauce (Chinese Foods),Fuzzy Melon|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,700.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Tatsoi with Garlic Sauce,Stir-Fried Tatsoi with Garlic Sauce (Chinese Foods),Tatsoi|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,500.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Bok Choy with Garlic Sauce,Stir-Fried Bok Choy with Garlic Sauce (Chinese Foods),Bok Choy|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,650.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Bamboo Shoots with Garlic Sauce,Stir-Fried Bamboo Shoots with Garlic Sauce (Chinese Foods),Bamboo Shoots|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,550.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Water Chestnut with Garlic Sauce,Stir-Fried Water Chestnut with Garlic Sauce (Chinese Foods),Water Chestnut|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,450.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Lotus Root with Garlic Sauce,Stir-Fried Lotus Root with Garlic Sauce (Chinese Foods),Lotus Root|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,600.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Pumpkin with Garlic Sauce,Stir-Fried Pumpkin with Garlic Sauce (Chinese Foods),Pumpkin|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,700.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Zha Cai (preserved mustard) with Garlic Sauce,Stir-Fried Zha Cai (preserved mustard) with Garlic Sauce (Chinese Foods),Zha Cai|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,100.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Scallion with Garlic Sauce,Stir-Fried Scallion with Garlic Sauce (Chinese Foods),Scallions|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,200.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Parsley with Garlic Sauce,Stir-Fried Parsley with Garlic Sauce (Chinese Foods),Parsley|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,150.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Yam with Garlic Sauce,Stir-Fried Yam with Garlic Sauce (Chinese Foods),Yam|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,700.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Pickled Radish with Garlic Sauce,Stir-Fried Pickled Radish with Garlic Sauce (Chinese Foods),Pickled Radish|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,300.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Pickled Cabbage with Garlic Sauce,Stir-Fried Pickled Cabbage with Garlic Sauce (Chinese Foods),Pickled Cabbage|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,300.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Seaweed (rehydrated) with Garlic Sauce,Stir-Fried Seaweed (rehydrated) with Garlic Sauce (Chinese Foods),Seaweed (rehydrated)|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,80.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Chinese Leek with Garlic Sauce,Stir-Fried Chinese Leek with Garlic Sauce (Chinese Foods),Chinese Leek|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,500.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Fennel with Garlic Sauce,Stir-Fried Fennel with Garlic Sauce (Chinese Foods),Fennel|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,400.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Garlic Sprouts with Garlic Sauce,Stir-Fried Garlic Sprouts with Garlic Sauce (Chinese Foods),Garlic Sprouts|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,350.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Taro (limited) with Garlic Sauce,Stir-Fried Taro (limited) with Garlic Sauce (Chinese Foods),"Taro, cooked|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro",400.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Cilantro with Garlic Sauce,Stir-Fried Cilantro with Garlic Sauce (Chinese Foods),Cilantro|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,150.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Shanghai Greens with Garlic Sauce,Stir-Fried Shanghai Greens with Garlic Sauce (Chinese Foods),Shanghai Greens|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,500.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Kailan with Garlic Sauce,Stir-Fried Kailan with Garlic Sauce (Chinese Foods),Kailan|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,600.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Sweet Corn (limited) with Garlic Sauce,Stir-Fried Sweet Corn (limited) with Garlic Sauce (Chinese Foods),Sweet Corn|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,200.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Pickled Mustard Greens with Garlic Sauce,Stir-Fried Pickled Mustard Greens with Garlic Sauce (Chinese Foods),"Mustard greens, cooked|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro",300.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Jicama with Garlic Sauce,Stir-Fried Jicama with Garlic Sauce (Chinese Foods),"Jicama slices, raw|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro",600.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Turnip with Garlic Sauce,Stir-Fried Turnip with Garlic Sauce (Chinese Foods),raw turnips|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,650.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Komatsuna with Garlic Sauce,Stir-Fried Komatsuna with Garlic Sauce (Chinese Foods),Komatsuna|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,500.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Cabbage Core Shreds with Garlic Sauce,Stir-Fried Cabbage Core Shreds with Garlic Sauce (Chinese Foods),Cabbage Core Shreds|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,400.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Chinese Foods,Stir-Fried Chinese Celery with Garlic Sauce,Stir-Fried Chinese Celery with Garlic Sauce (Chinese Foods),Chinese Celery|soy sauce|Dark soy sauce|Chinese black vinegar|Sesame oil|Canola oil|Granulated sugar|Garlic|Scallions|Chili oil|Cilantro,500.0|60.0|15.0|15.0|28.0|28.0|12.0|12.0|20.0|10.0|5.0
Eastern European Foods,Stuffed Bell Peppers with White Rice,Stuffed Bell Peppers with White Rice (Eastern European Foods),"Red Bell Peppers|White Rice|onions, raw|Garlic|Vegetable Broth|Curry Powder|Cinnamon|Sage (dried)|Cloves|Salt and Pepper|Parsley",300.0|95.0|110.0|6.0|360.0|1.0|2.6|0.3|0.2|5.0|3.0
Eastern European Foods,Vegan Borscht,Vegan Borscht (Eastern European Foods),"Olive Oil|Red red beets|Carrots|onions, raw|Garlic|Vegetable Broth|Tomato Paste|Green Cabbage|Potatoes|Lemon Juice|Fresh fresh dill|Salt and Pepper|chives",27.0|375.0|120.0|100.0|6.0|950.0|30.0|150.0|200.0|22.5|4.0|5.0|3.0
Eastern European Foods,Korean Style Carrot Salad,Korean Style Carrot Salad (Eastern European Foods),Carrots|Garlic|Balsamic Vinegar|Salt and Pepper|Paprika|Cayenne|Avocado Oil,825.0|18.0|80.0|4.0|1.0|0.3|55.0
Eastern European Foods,Braised Cabbage with White Rice,Braised Cabbage with White Rice (Eastern European Foods),"Olive Oil|onions, raw|Tomato puree|Green Cabbage|White Rice|Salt and Pepper|Red Bell Peppers|Vegetable Broth",27.0|150.0|340.0|1000.0|25.0|6.0|4.0|750.0
Eastern European Foods,Veggie-Stuffed Potato Cakes Dough Base,Veggie-Stuffed Potato Cakes Dough Base (Eastern European Foods),Potatoes|vegan butter|Salt|Flour|White Pepper|Olive Oil,600.0|150.0|5.0|100.0|1.0|45.0
Eastern European Foods,Veggie-Stuffed Potato Cakes Mushroom Filling,Veggie-Stuffed Potato Cakes Mushroom Filling (Eastern European Foods),"Portobello Mushrooms|onions, raws|Garlic|Salt and Pepper",300.0|200.0|18.0|5.0
Eastern European Foods,Veggie-Stuffed Potato Cakes Satsibeli Sauce,Veggie-Stuffed Potato Cakes Satsibeli Sauce (Eastern European Foods),"Tomatoes|onions, raw|Garlic|Coriander|Vinegar/oil dressing|Chili Sauce|Sugar|Salt",250.0|50.0|6.0|5.0|15.0|15.0|2.0|2.5
Eastern European Foods,Baked Apples,Baked Apples (Eastern European Foods),"Granny Smith Golden Apples|Lemon Juice|vegan butter|Raisins, seedless|Water|Honey|Cinnamon|Allspice|Nutmeg",800.0|10.0|40.0|50.0|30.0|85.0|2.6|0.5|0.3
Eastern European Foods,Stuffed Cabage Main,Stuffed Cabage Main (Eastern European Foods),Green Cabbage|Tomato|Marinara sauce,1000.0|795.0|800.0
Eastern European Foods,Stuffed Cabbage Filling,Stuffed Cabbage Filling (Eastern European Foods),"onions, raw|Carrots|Portobello Mushrooms|Cauliflower, raw|Garlic|soy sauce|Vegan Worcestershire sauce|White Rice|Tomato paste|Parsley|Italian seasoning|onion powder|Garlic powder|salt and pepper|Water",150.0|55.0|70.0|100.0|7.0|15.0|15.0|190.0|30.0|30.0|1.0|1.5|1.5|4.0|30.0
Eastern European Foods,Pickled Pumpkin Main,Pickled Pumpkin Main (Eastern European Foods),"Pumpkin|Salt|Water|Vinegar/oil dressing|Sugar|Ginger, raw|Chili flakes|cloves|Allspice berries|Floral honey",600.0|5.0|600.0|120.0|70.0|10.0|0.5|1.0|0.4|50.0
Eastern European Foods,Pickled Pumpkin Cherry Dressing,Pickled Pumpkin Cherry Dressing (Eastern European Foods),Cherry jam|Pickle brine|Olive oil|mustard|Salt,40.0|30.0|27.0|2.0|0.3
Eastern European Foods,Pickled Pumpkin Salad,Pickled Pumpkin Salad (Eastern European Foods),Cherry jam|Salad mix|Pickled pumpkin,99.0|60.0|90.0
Eastern European Foods,Vinegret Salad,Vinegret Salad (Eastern European Foods),"Potatoes|Carrots|sweet peas|fresh dill pickles|Red red beets|onions, raw|Olive oil|onions, raw|Salt and Pepper",675.0|250.0|120.0|140.0|235.0|120.0|27.0|20.0|4.0
Eastern European Foods,Potato and fresh dill Soup,Potato and fresh dill Soup (Eastern European Foods),"Potatoes|Vegetable Broth|onions, raw|Garlic|fresh dill|Bay Leaf|Olive Oil|Salt|Pepper",600.0|500.0|100.0|10.0|5.0|1.0|20.0|2.0|2.0
Eastern European Foods,Carrot and Apple Salad,Carrot and Apple Salad (Eastern European Foods),Carrots|Apples|Lemon Juice|Olive Oil|Salt|Sugar,400.0|250.0|20.0|30.0|2.0|18.0
Eastern European Foods,Roasted Root Vegetables,Roasted Root Vegetables (Eastern European Foods),Carrots|Parsnips|Potatoes|red beets|Olive Oil|Salt|Thyme,300.0|200.0|400.0|250.0|40.0|4.0|2.0
Eastern European Foods,Cabbage and Apple Slaw,Cabbage and Apple Slaw (Eastern European Foods),Green Cabbage|Apple|Carrots|Vinegar|Sugar|Salt|Olive Oil,450.0|200.0|150.0|60.0|40.0|5.0|55.0
Eastern European Foods,Mashed Potatoes with Garlic Oil,Mashed Potatoes with Garlic Oil (Eastern European Foods),Potatoes|Olive Oil|Garlic|Salt,600.0|100.0|30.0|20.0
Eastern European Foods,Beet and Apple Salad,Beet and Apple Salad (Eastern European Foods),red beets|Apples|Olive Oil|Lemon Juice|Salt,300.0|300.0|30.0|30.0|10.0
Eastern European Foods,Cabbage Stew with Caraway,Cabbage Stew with Caraway (Eastern European Foods),"Cabbage|onions, raw|Garlic|Caraway Seeds|Olive Oil|Salt|Vegetable Broth",700.0|200.0|20.0|2.0|30.0|3.0|245.0
Eastern European Foods,Sweet Braised Red Cabbage,Sweet Braised Red Cabbage (Eastern European Foods),Red Cabbage|Apple|Vinegar|Sugar|Salt|Olive Oil,600.0|200.0|60.0|50.0|5.0|35.0
Eastern European Foods,Potato and Cucumber Salad,Potato and Cucumber Salad (Eastern European Foods),Potatoes|Cucumber|fresh dill|Vinegar|Salt|Olive Oil,500.0|300.0|10.0|50.0|5.0|115.0
Eastern European Foods,Herbed Carrot Mash,Herbed Carrot Mash (Eastern European Foods),Carrots|Olive Oil|Parsley|Garlic|Salt|White Pepper,600.0|80.0|10.0|10.0|5.0|5.0
Eastern European Foods,Polish Apple Beet Slaw,Polish Apple Beet Slaw (Eastern European Foods),red beets|Apples|Lemon Juice|Olive Oil|fresh dill|Salt,350.0|300.0|30.0|50.0|5.0|5.0
Eastern European Foods,Potato-Cauliflower Bake,Potato-Cauliflower Bake (Eastern European Foods),Potatoes|Cauliflower|Olive Oil|Garlic|vegan butter|Salt and Pepper,500.0|300.0|50.0|15.0|120.0|10.0
Eastern European Foods,Stewed Green Beans with Tomato,Stewed Green Beans with Tomato (Eastern European Foods),"Green Beans|Tomato Puree|onions, raw|Garlic|Olive Oil|Salt and Pepper",600.0|250.0|120.0|10.0|80.0|10.0
Eastern European Foods,Warm Cabbage-Apple SautâÂ©,Warm Cabbage-Apple SautâÂ© (Eastern European Foods),"Cabbage|Apples|onions, raw|Olive Oil|Vinegar|Salt and pepper",500.0|250.0|100.0|50.0|15.0|5.0
Eastern European Foods,Horseradish Beet Salad,Horseradish Beet Salad (Eastern European Foods),red beets|Horseradish|Lemon Juice|Olive Oil|Salt,400.0|50.0|30.0|100.0|10.0
Eastern European Foods,Simple Potato and Pickle Salad,Simple Potato and Pickle Salad (Eastern European Foods),"Potatoes|dill Pickles|onions, raw|Vinegar|Olive Oil|Salt and Pepper",500.0|200.0|100.0|30.0|30.0|10.0
Eastern European Foods,Sauteed Zucchini with fresh dill,Sauteed Zucchini with fresh dill (Eastern European Foods),Zucchini|Olive Oil|Garlic|fresh dill|Salt and Pepper,500.0|80.0|10.0|10.0|10.0
Eastern European Foods,Carrot-Potato Latkes,Carrot-Potato Latkes (Eastern European Foods),"Carrots|Potatoes|onions, raw|Olive Oil|Salt|White Pepper",400.0|300.0|80.0|50.0|5.0|5.0
Eastern European Foods,Beet and Cabbage Stir-Fry,Beet and Cabbage Stir-Fry (Eastern European Foods),"red beets|Cabbage|onions, raw|Olive Oil|Vinegar|Salt|Caraway Seeds",350.0|300.0|120.0|80.0|60.0|5.0|2.0
Eastern European Foods,Apple-Cabbage Slaw,Apple-Cabbage Slaw (Eastern European Foods),Apples|Green Cabbage|Carrots|Olive Oil|Lemon Juice|Salt|Sugar,300.0|300.0|100.0|40.0|30.0|5.0|5.0
Eastern European Foods,Mushroom-Buckwheat Pilaf (limited),Mushroom-Buckwheat Pilaf (limited) (Eastern European Foods),"Buckwheat|Mushrooms|onions, raw|Garlic|Olive Oil|Salt and Pepper",250.0|300.0|150.0|10.0|100.0|10.0
Eastern European Foods,Cucumber-Vinegar Salad,Cucumber-Vinegar Salad (Eastern European Foods),Cucumber|Vinegar|Salt|fresh dill|Sugar,500.0|80.0|5.0|5.0|60.0
Eastern European Foods,Baked Cauliflower with Paprika,Baked Cauliflower with Paprika (Eastern European Foods),Cauliflower|Olive Oil|Paprika|Garlic|Salt,700.0|120.0|4.0|6.0|5.0
Eastern European Foods,Sweet Carrot Pudding,Sweet Carrot Pudding (Eastern European Foods),"Carrots|Sugar|Coconut Oil|Lemon Zest|Raisins, seedless|Cinnamon|Salt",500.0|90.0|60.0|5.0|60.0|2.0|3.0
Eastern European Foods,Cabbage-Potato Mash,Cabbage-Potato Mash (Eastern European Foods),Green Cabbage|Potatoes|Olive Oil|Salt|White Pepper,400.0|400.0|60.0|5.0|5.0
Eastern European Foods,Caraway Beet Wedges,Caraway Beet Wedges (Eastern European Foods),red beets|Olive Oil|Caraway Seeds|Salt|Vinegar,500.0|80.0|2.0|3.0|85.0
Eastern European Foods,Stuffed Apples with Jam,Stuffed Apples with Jam (Eastern European Foods),Apples|Cherry Jam|Cinnamon|Sugar|vegan butter,500.0|120.0|1.0|40.0|49.0
Eastern European Foods,Savory Pumpkin Mash,Savory Pumpkin Mash (Eastern European Foods),Pumpkin|Garlic|Olive Oil|Salt|Sage|White Pepper,600.0|10.0|80.0|5.0|3.0|5.0
Eastern European Foods,Zucchini and Apple Salad,Zucchini and Apple Salad (Eastern European Foods),Zucchini|Apples|Lemon Juice|fresh dill|Salt|Olive Oil,400.0|250.0|30.0|5.0|5.0|30.0
Eastern European Foods,Beetroot Horseradish Dip,Beetroot Horseradish Dip (Eastern European Foods),red beets|Horseradish|Lemon Juice|Salt|Olive Oil,400.0|50.0|30.0|5.0|115.0
Eastern European Foods,Mashed Pumpkin with Carrots,Mashed Pumpkin with Carrots (Eastern European Foods),Pumpkin|Carrots|Olive Oil|Garlic|Salt|Pepper,500.0|300.0|80.0|10.0|5.0|5.0
Eastern European Foods,Sauerkraut with Carrot,Sauerkraut with Carrot (Eastern European Foods),"Sauerkraut|Carrots|Olive Oil|onions, raw|Bay Leaf|Salt|Pepper",400.0|200.0|60.0|100.0|1.0|3.0|2.0
Eastern European Foods,Roasted Cabbage Steaks,Roasted Cabbage Steaks (Eastern European Foods),Green Cabbage|Olive Oil|Garlic Powder|Paprika|Salt|Pepper,700.0|80.0|5.0|5.0|5.0|5.0
Eastern European Foods,Turnip and Apple Salad,Turnip and Apple Salad (Eastern European Foods),Turnips|Apples|Lemon Juice|fresh dill|Olive Oil|Salt,400.0|250.0|30.0|5.0|40.0|5.0
Eastern European Foods,Fried Zucchini Rounds,Fried Zucchini Rounds (Eastern European Foods),Zucchini|Olive Oil|Salt|Garlic Powder|White Pepper,600.0|100.0|5.0|5.0|5.0
Eastern European Foods,Potato and fresh dill Patties,Potato and fresh dill Patties (Eastern European Foods),"Potatoes|fresh dill|onions, raw|Olive Oil|Salt|Flour",500.0|10.0|100.0|80.0|5.0|195.0
Eastern European Foods,Mushroom-Cabbage Mix,Mushroom-Cabbage Mix (Eastern European Foods),"Mushrooms|Cabbage|onions, raw|Garlic|Olive Oil|Salt|Pepper",400.0|300.0|150.0|10.0|150.0|10.0|20.0
Eastern European Foods,Spiced Apple Slices,Spiced Apple Slices (Eastern European Foods),Apples|Cinnamon|Nutmeg|Lemon Juice|Sugar|Olive Oil,500.0|2.0|1.0|10.0|40.0|30.0
Eastern European Foods,Cucumber Beet Salad,Cucumber Beet Salad (Eastern European Foods),red beets|Cucumber|fresh dill|Vinegar|Salt|Olive Oil,400.0|300.0|10.0|50.0|5.0|55.0
Eastern European Foods,Sweet Carrot and Apple Bake,Sweet Carrot and Apple Bake (Eastern European Foods),Carrots|Apples|Sugar|Cinnamon|Olive Oil|Nutmeg,400.0|400.0|60.0|2.0|30.0|8.0
Eastern European Foods,Cold Marinated Vegetables,Cold Marinated Vegetables (Eastern European Foods),Cauliflower|Carrots|Red Bell Peppers|Vinegar|Salt|Garlic|Olive Oil,300.0|300.0|200.0|100.0|5.0|5.0|90.0
Eastern European Foods,Polish Celery Root Slaw,Polish Celery Root Slaw (Eastern European Foods),Celery Root|Apples|Lemon Juice|Vinegar|Salt|Olive Oil,400.0|200.0|30.0|40.0|5.0|45.0
