Ingredient,Serving Size (g),PHE(mg),TYR(mg),Protein(g),Energy(kcal)
Mint leaves,100,30,89,3.5,58
Capsicum,100,50,10,1,26
Green chili       ,100,30,52,0.9,18
Coconut milk,100,64,36,0.9,230
"Jicama slices, raw",100,29,17,0.72,38
"Nopales, cooked, chopped",100,42,24,1.35,22
Vegan Aioli ,100,45,25,0.8,660
Tamarind Paste,100,74,39,2.8,239
Caraway Seeds,1,49,26,1,33
Celery Root,100,65,35,1.5,42
Fennel,100,50,25,1.2,31
Basmati rice ,100,72,31,2.7,121
Bell pepper,100,29,17,0.9,26
Black pepper,100,603,217,10.4,251
Boiled potato,100,75,43,2,87
Cauliflower,100,63,37,1.9,25
Chaat masala,100,180,100,6,210
Coconut,100,106,62,3.3,354
Cucumber,100,22,13,0.7,16
Cumin powder,100,420,180,17.8,375
Curry leaves,100,93,49,6,108
Curry masala,100,280,150,10,300
Flattened PKU rice (Poha),100,72,40,2.3,110
Fresh grated coconut,100,97,56,3.2,354
"Garlic, raw",100,134,80,6.4,149
f,100,47,28,1.8,80
Green chutney (avg.),100,55,30,1.2,70
Oil,100,0,0,0,884
"Potatoes, boiled",100,75,43,2,87
"Rice, long-grain",100,73,32,2.6,130
Sev,100,120,60,4,450
Soy-free sauce ,100,65,40,1,100
rasam powder,100,300,150,12,320
Tamarind chutney,100,53,30,1.3,230
Tamarind paste,100,54,31,2.8,239
"Tomatoes, cooked",100,49,27,1.2,32
White bread,100,167,75,7.9,265
Yogurt,100,157,91,3.5,59
Tamarind pulp,100,52,30,2.8,239
Waterleaf,100,90,50,3.3,33
Cassava Root (Raw),100,40,23,1.4,160
Cassava Root (Boiled),100,22,13,0.6,112
Cassava Leaves (Raw),100,215,120,7,70
Dijon Mustard,100,270,110,5.5,66
Vegan Cream (PKU-safe),100,0,0,0,125
white rice,100,125,55,2.7,130
Corn kernels,100,28,29,3.2,86
Onions,100,5,3,1.1,40
Fresh cream,100,108,102,2.3,195
Ghee,100,0,0,0,900
Spinach,100,10,8,2.9,23
Dosa batter,100,25,23,2.5,150
Idli batter,100,20,18,2,120
Masala powder,100,50,45,5,350
PKU bread,100,10,8,1,150
Papaya,100,6,5,0.5,43
Ripe plantain,100,8,7,1.3,122
Roti,100,35,32,3.5,297
Semolina,100,40,38,4,360
Shredded cabbage,100,8,7,1.3,25
Steamed idli,100,15,13,1.5,100
Tandoori masala,100,45,40,4.5,300
,,,,,
,,,,,
artichokes,100,35,20,1.9,47
arugula,50,25,12,1.3,13
baked onions,100,25,15,1,40
basil,10,9,5,0.3,2
beans (low protein option),100,35,15,1.3,75
boiled chicory,100,40,20,1.7,23
breadcrumbs,10,40,15,1.3,35
broccoli,100,57,30,2.8,34
cabbage,100,38,20,1.3,25
cannellini beans (small amount),100,250,100,8,110
capers,10,5,2,0.2,6
cauliflower,100,32,18,1.9,25
celery,100,30,10,1.2,16
cherry tomatoes,100,36,20,0.9,18
chicory,100,40,20,1.7,23
cucumber,100,18,8,0.7,15
eggplant,100,35,18,1,24
fava beans,100,300,120,8,110
fennel,100,35,15,1.2,31
flour,30,100,45,3,110
lentils,100,190,80,7.6,116
low-protein rice,50,5,3,0.1,180
mushrooms,100,35,15,1.8,22
onions,100,25,10,1,40
oranges,100,26,13,0.9,47
pasta,100,210,90,7.3,131
pearl onions,100,30,12,1.2,34
polenta,100,25,12,2,70
radicchio,100,25,10,1.4,23
sage,5,13,5,0.3,7
spaghetti (low-protein if possible),50,5,3,0.1,170
spinach,100,60,30,3,28
steamed carrots,100,35,18,0.8,35
steamed cauliflower,100,30,15,1.7,23
sugar,10,0,0,0,39
sun-dried tomatoes,50,130,70,5,140
tomato broth,100,20,10,0.5,15
tomato sauce,100,55,25,1.4,40
tomatoes,100,36,18,0.9,18
vinegar,15,0,0,0,3
Baobab fruit powder,10,16.3,9.1,0.37,25
Low-protein peanut substitute,,,,,
f,100,193,85,3.4,92
Sesame Oil,14,0,0,0,120
Low-protein flour,100,5,3,0.4,360
Star anise,2,2.6,1.6,0.13,7
kosher salt,5,0,0,0,0
Korean red pepper flakes,5,21,12,1,18
Winter Melon,100,7,4,0.3,13
dried shiitake mushrooms,10,120,70,2.5,30
Dried red chili peppers,5,19,11,0.9,17
preserved vegetables,30,24,14,1,12
Wood ear mushrooms,50,22,13,1,25
Garlic chives,100,50,30,2.5,30
Sweet Onion,100,42,21,1.1,40
sumac,100,520,260,9.6,350
dried barberries,100,130,60,3.6,325
saffron water,0.03,0.4,0.2,0,0
tarragon,100,960,430,22.8,295
scallion greens,100,110,50,1.8,32
lavash,100,570,240,9,275
pomegranate molasses,100,35,15,0.3,250
fenugreek,100,1600,750,23,323
rosewater,100,0,0,0,0
pomegranate arils,100,40,20,1.7,83
sour cherries,100,35,18,1,50
barberries,100,130,60,3.6,325
orange zest,100,550,250,10.5,270
bulgur,100,150,70,3.1,83
grape molasses,100,40,18,0.4,250
rice flour,100,350,150,6,366
melon,100,125,12,0.8,34
Bean sprouts,100,60,35,3,31
Japanese/Lebanese cucumbers,100,7,4,0.3,15
Kabocha squash,100,28,17,1.2,35
Scallions,100,37,22,1.6,32
choy sum,100,40,25,1.8,20
Canola oil,14,0,0,0,120
Chili oil,14,2.5,1.5,0.05,120
Chinese black vinegar,15,1,0.5,0.05,5
Granulated sugar,4,0,0,0,16
Dark Soy Sauce,15,50,30,1,10
Napa Cabbage,100,28,16,1.2,16
Snow Peas,100,79,47,3.3,42
Enoki Mushroom,100,67,40,2.8,37
Lettuce,100,18,10,0.8,15
Chinese Broccoli / Gai Lan,100,65,38,2.7,22
Fuzzy Melon,100,13,8,0.6,20
Tatsoi,100,37,22,1.6,20
Bok Choy,100,27,16,1.1,13
Bamboo Shoots,100,40,24,1.7,27
Water Chestnut,100,15,9,0.6,97
Zha Cai,30,28,16,1.2,15
Yam,100,45,27,1.9,118
Pickled Radish,50,12,7,0.5,20
Pickled Cabbage,50,10,6,0.4,12
Seaweed (rehydrated),100,19,11,0.8,45
Chinese Leek,100,50,30,2.2,35
Garlic Sprouts,100,55,32,2.3,40
Shanghai Greens,100,25,15,1,13
Sweet Corn,100,115,70,3.4,96
Kailan,100,65,38,2.7,22
Cabbage Core Shreds,100,30,18,1.2,25
Chinese Celery,100,32,19,1.3,17
